,hip1_hip2,hip1_hip2,hip1_hip2,hip2_upperlimb,hip2_upperlimb,hip2_upperlimb,upperlimb_knee,upperlimb_knee,upperlimb_knee,knee_ankle,knee_ankle,knee_ankle,ankle_toe1,ankle_toe1,ankle_toe1,toe1_toe2,toe1_toe2,toe1_toe2,,24.67001909
,length,orientation,likelihood,length,orientation,likelihood,length,orientation,likelihood,length,orientation,likelihood,length,orientation,likelihood,length,orientation,likelihood,,
38,2.88217097,271.5286477,0.085034102,38.09729198,95.43732217,0.072706848,143.0104719,121.0048866,0.641121447,107.4362524,92.90772199,0.816870809,11.9800952,43.89696828,0.662432194,34.21444302,150.9466009,0.100833625,,-33.91260856
39,14.13443145,315.6038917,0.068404078,49.79566493,128.7853456,0.268802166,116.2257412,109.3156464,0.775676489,106.9775699,96.43058192,0.811723351,13.84629552,39.14375748,0.602768719,19.63561772,131.1919195,0.119146824,,-25.74622829
40,0.847719307,249.720733,0.985503078,42.27378159,129.4702509,0.994515657,109.7644628,109.8874619,0.99405098,109.7371389,99.19847887,0.966173053,15.48927978,88.03746787,0.953647256,41.35576029,183.2359291,0.9636724,,-29.08594079
41,0.879422483,246.3394795,0.985731363,42.08660669,129.4930283,0.994543076,109.8470657,109.9012456,0.994116783,109.751788,99.17481253,0.966414452,15.47425629,88.28169008,0.953487754,41.30842091,183.1654495,0.964495003,,-29.07605811
42,4.356177739,203.8554357,0.243198603,49.04060118,124.8013899,0.37130779,111.9017336,109.5208987,0.96676898,110.4346236,96.83447528,0.735277712,13.18826111,61.10925834,0.675790548,51.09106906,183.386699,0.442025542,,-26.35537396
43,6.267251161,32.73669888,0.057277381,54.64268831,125.1975878,0.545138538,115.2677528,112.2984816,0.936455488,114.9535599,94.246756,0.733498931,6.016927561,114.5977791,0.716871142,56.62219013,164.4298313,0.141073167,,-26.5452376
44,7.812021858,335.762741,0.143514186,38.59593752,130.5377709,0.955848932,115.4866839,113.7189252,0.982835054,113.0842192,90.9774922,0.940728724,11.09217128,80.29117854,0.871805191,35.76862524,175.3195437,0.325521678,,-24.69641737
45,7.017757359,214.0771011,0.251455009,50.36993032,121.6540505,0.256264031,109.413673,112.0031904,0.88154757,111.5861256,87.74608385,0.730374873,13.79723823,117.6941064,0.780607343,36.28177359,183.9771221,0.386548549,,-19.74927428
46,0.246449912,169.165318,0.092771739,43.81940328,130.2201622,0.410785675,115.0712995,111.2068831,0.961066842,105.4442943,89.18396164,0.654216528,14.52911242,59.29810171,0.709047198,37.8554807,169.6915877,0.096719891,,-20.39084472
47,10.72851252,358.8552285,0.095926046,62.61312256,128.0543827,0.247088581,112.4920639,113.7969963,0.668819606,109.6091091,87.24640623,0.66696763,7.258248696,51.25102088,0.65677166,44.72016689,156.0798134,0.360633075,,-21.04340251
48,9.976178792,326.3733876,0.150437534,38.96308576,134.906544,0.492722809,119.572641,115.7940906,0.769402266,105.8918083,72.21080976,0.925394475,15.00089852,83.0671071,0.790028214,42.25028762,182.1458415,0.261081576,,-8.004900322
49,2.135611391,199.6040975,0.990297198,39.43398961,130.5207849,0.988847375,107.5532857,116.2677897,0.991832018,105.7340076,75.31746977,0.975947917,16.10520388,77.3507434,0.957262397,36.34341769,170.8140331,0.971813917,,-11.58525945
50,3.285321379,118.4508274,0.979786038,37.62014114,132.4516405,0.97799778,105.508845,115.026095,0.993081212,107.541351,68.0169836,0.974594235,14.27557961,76.80926268,0.959795594,36.69396198,168.7006321,0.959029913,,-3.043078605
51,3.233009496,118.7803725,0.979957819,37.67212436,132.4283696,0.978047848,105.4672546,115.0371465,0.993075371,107.5249171,68.01534992,0.974466205,14.30013139,76.87078313,0.959810138,36.68355329,168.7616188,0.959054828,,-3.05249644
52,1.618792328,191.5887081,0.976733863,35.2957448,132.9218731,0.980745912,108.5199625,111.213683,0.987591267,103.5581261,65.17296167,0.978438258,16.44886424,71.04007408,0.955240011,36.3661451,168.3342183,0.975403488,,3.61335531
53,1.601792371,192.3330649,0.9766711,35.32706101,132.8586127,0.980961323,108.4621456,111.2132843,0.987602174,103.5643384,65.18343386,0.978497148,16.41791329,71.01027175,0.955129862,36.34411554,168.3469797,0.975335121,,3.603281863
